rank,uid,nickname,company,net_value,equity,net_profit,profit_rate,max_drawdown,credit_score,total_fee,option_profit,start_date,update_date,start_equity,source
137,42130,魔都小笨,申银万国,0.8088,38172100.0,-9241000.0,-19.12,20.09,18.33,7428.76,-43800.0,2026-01-05,2026-02-24,48286100.0,niumoney
138,39602,美程巴巴,中辉期货,0.0257,190.85,-75800.0,-97.43,97.43,58.16,1644.2,-51900.00000000001,2026-01-06,2026-02-24,8074.87,niumoney
139,41898,江海劲松,徽商期货,0.9474,385700.0,-21400.0,-5.26,21.08,75.77,2503.7,-57600.0,2026-01-05,2026-02-13,224100.0,niumoney
140,35969,subaru,中证期货,1.1476,862200.0,110900.0,14.76,14.75,65.88,1625.03,-61100.0,2026-01-05,2026-02-25,671800.0000000001,niumoney
141,38169,海陆空,宏源期货,0.4045,163000.0,-70300.0,-59.55,71.47,61.64,4505.94,-70900.0,2026-01-05,2026-02-24,2434.39,niumoney
142,41006,穆教练,招金期货,0.5333,100200.0,-35700.0,-46.67,67.2,64.47,9080.52,-122100.00000000001,2026-01-07,2026-02-24,222000.0,niumoney
143,41583,段力铭15609169446,南证期货,1.3703,5068200.0,1177900.0,37.03,20.28,77.6,7172.63,-129500.0,2026-01-05,2026-02-24,2674900.0,niumoney
144,40056,自在菩提,华安期货,0.414,73600.0,-95600.0,-58.6,60.61,61.86,3388.49,-175500.0,2026-01-06,2026-02-24,6709.7,niumoney
145,40398,ccL,长安期货,0.7033,189300.0,-80000.0,-29.67,51.49,66.06,8272.95,-223299.99999999997,2026-01-05,2026-02-24,29200.0,niumoney
146,35165,煤老板操盘1,国联期货,0.8454,2488700.0,-455000.0,-15.46,15.46,0.0,60.35,-1342400.0,2026-02-24,2026-02-25,1601399.9999999998,niumoney
